"endTime","artistName","trackName","msPlayed"
"2022-03-05 04:25","The Maine","Loved You A Little (with Taking Back Sunday and Charlotte Sands)",186040
"2022-03-05 04:25","Dayglow","Medicine",2167
"2022-03-05 04:25","Twenty One Pilots","Shy Away",910
"2022-03-05 04:26","The Maine","Loved You A Little (with Taking Back Sunday and Charlotte Sands)",1440
"2022-03-05 04:26","With Confidence","Big Cat Judgement Day",1241
"2022-03-05 04:26","Maroon 5","Sugar",8013
"2022-03-05 04:26","Rex Orange County","KEEP IT UP",5026
"2022-03-05 04:26","Machine Gun Kelly","forget me too (feat. Halsey)",5142
"2022-03-05 04:30","blackbear","hot girl bummer",6431
"2022-03-05 04:30","Coldplay","My Universe",228000
"2022-03-05 04:33","BTS","Dynamite",199053
"2022-03-05 04:35","Machine Gun Kelly","my ex's best friend (with blackbear)",139460
"2022-03-05 04:35","Twenty One Pilots","Shy Away",5415
"2022-03-05 04:36","blackbear","idfc",1397
"2022-03-05 04:36","Rex Orange County","10/10",1812
"2022-03-05 04:39","BTS","Permission to Dance",187585
"2022-03-05 04:43","Khalid","Better",229320
"2022-03-05 04:46","Rex Orange County","Always",197333
"2022-03-05 04:50","blackbear","I feel 2 much",240037
"2022-03-05 04:53","blackbear","4u",714
"2022-03-05 04:53","The Maine","Black Butterflies and Déjà Vu",7579
"2022-03-05 04:53","Jawsh 685","Savage Love (Laxed – Siren Beat) [BTS Remix]",11281
"2022-03-05 04:53","Rex Orange County","KEEP IT UP",644
"2022-03-05 04:53","Twenty One Pilots","Good Day",980
"2022-03-05 04:53","BTS","Film out",913
"2022-03-05 04:53","Coldplay","My Universe - SUGA's Remix",188234
"2022-03-05 04:57","Mayday Parade","Jamie All Over",216000
"2022-03-05 05:01","Paramore","Turn It Off",259720
"2022-03-05 05:02","Shawn Mendes","A Little Too Much",41490
"2022-03-05 05:06","fun.","We Are Young (feat. Janelle Monáe)",250626
"2022-03-05 05:10","We The Kings","Check Yes, Juliet",220126
"2022-03-05 05:10","Imagine Dragons","Demons",3928
"2022-03-05 05:14","Twenty One Pilots","Ride",214506
"2022-03-05 05:20","Paramore","Ain't It Fun",296520
"2022-03-05 05:34","Fall Out Boy","Thnks fr th Mmrs",53113
"2022-03-06 03:33","Fall Out Boy","Thnks fr th Mmrs",150557
"2022-03-06 03:37","Troye Sivan","YOUTH",185194
"2022-03-06 03:40","Ed Sheeran","Don't",219840
"2022-03-06 04:02","All Time Low","Dear Maria, Count Me In",169293
"2022-03-06 05:29","All Time Low","Dear Maria, Count Me In",14283
"2022-03-06 05:34","Twenty One Pilots","Guns for Hands",273335
"2022-03-06 05:35","Justin Bieber","What Do You Mean?",71498
"2022-03-06 13:37","Ang Walang Kwentang Podcast","When a Coffee Magnate Falls in Love",818630
"2022-03-06 13:47","Justin Bieber","What Do You Mean?",65580
"2022-03-06 13:47","Paramore","Playing God",1208
"2022-03-06 13:50","Fall Out Boy","I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You)",211720
"2022-03-06 13:55","Akon","Don't Matter",293066
"2022-03-06 13:58","Dua Lipa","Blow Your Mind (Mwah)",172740
"2022-03-07 11:06","Dua Lipa","Blow Your Mind (Mwah)",5843
"2022-03-07 11:10","Paramore","Brick by Boring Brick",253946
"2022-03-07 11:14","Fall Out Boy","I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You)",211720
"2022-03-07 11:20","Ang Walang Kwentang Podcast","When a Coffee Magnate Falls in Love",8073
"2022-03-07 11:20","Twenty One Pilots","Guns for Hands",37669
"2022-03-07 11:35","Ang Walang Kwentang Podcast","Love Language: Magpabili",837863
"2022-03-09 00:24","Ang Walang Kwentang Podcast","Love Language: Magpabili",2470
"2022-03-09 00:27","Panic! At The Disco","The Only Difference Between Martyrdom and Suicide Is Press Coverage",177519
"2022-03-09 00:29","ZAYN","INTERMISSION: fLoWer",95941
"2022-03-09 00:32","State Champs","Frozen",179599
"2022-03-09 00:35","Hot Chelle Rae","Say (Half Past Nine)",220586
"2022-03-09 00:40","Khalid","OTW",263013
"2022-03-09 00:44","Paramore","Rewind - Demo",226946
"2022-03-09 00:47","All Time Low","No Idea",14695
"2022-03-09 00:47","This Century","Sound Of Fire",176426
"2022-03-09 00:50","Troye Sivan","BLUE",211816
"2022-03-09 00:53","Hot Chelle Rae","Queen Of The Scene",171480
"2022-03-09 00:57","Halsey","Hurricane",223081
"2022-03-09 01:00","Maroon 5","Maps",189960
"2022-03-09 01:05","Twenty One Pilots","Johnny Boy",279053
"2022-03-09 01:09","All Time Low","Drugs & Candy",217680
"2022-03-09 01:13","Carly Rae Jepsen","The One",203186
"2022-03-09 01:16","Faber Drive","Obvious",178720
"2022-03-09 01:47","Halsey","Gasoline",52705
"2022-03-09 02:20","Halsey","Gasoline",147381
"2022-03-09 02:24","This Century","Skeletons",240287
"2022-03-09 02:28","Ariana Grande","bloodline",216893
"2022-03-09 02:32","The Maine","Inside of You",230960
"2022-03-09 02:35","Fall Out Boy","The Music Or The Misery",207893
"2022-03-09 02:37","The Maine","Love Yourself",92065
"2022-03-09 12:53","Ang Walang Kwentang Podcast","Love Language: Magpabili",1126347
"2022-03-10 05:16","Ang Walang Kwentang Podcast","No More FOMO: Films and Series Na Sana’y Kami’y Naki-Usow",2060
"2022-03-12 03:28","Coldplay","My Universe",228000
"2022-03-12 03:31","BTS","Dynamite",199053
"2022-03-12 03:35","Rex Orange County","Always",197333
"2022-03-12 03:37","Machine Gun Kelly","my ex's best friend (with blackbear)",139460
